OTU	Btaxo_rank1	Btaxo_rank2	Btaxo_rank3	Btaxo_rank4	Btaxo_rank5	Bmorpho	Bacc_number	cov%	id%	Ttaxo_rank1	Ttaxo_rank2	Ttaxo_rank3	Ttaxo_rank4	Ttaxo_rank5	Tmorpho	Tacc_number	node	Brench_L	occurrence	readnumber	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP13	TP14	TP15	TP17	TP18	TP19	TP20	TP21	TP22	TP23	TP24	TP25	TP26	TP27	TP28	TP29	TP30	TP31	TP32	TP33	TP34	TP35	TP36	TP37	TP38	TP39	TP40	TP41	ANP-10-L-1-80-RNA-SAR	ANP-10-L-1-10-RNA-SAR	ANP-10-L-1-2-RNA-SAR	ANP-10-M-1-80-RNA-SAR	ANP-10-M-1-10-RNA-SAR	ANP-10-M-1-2-RNA-SAR	ANP-10-H-1-80-RNA-SAR	ANP-10-H-1-10-RNA-SAR	ANP-10-H-1-2-RNA-SAR	ANP-10-L-2-80-RNA-SAR	ANP-10-L-2-10-RNA-SAR	ANP-10-L-2-2-RNA-SAR	ANP-10-M-2-80-RNA-SAR	ANP-10-M-2-10-RNA-SAR	ANP-10-M-2-2-RNA-SAR	ANP-10-H-2-80-RNA-SAR	ANP-10-H-2-10-RNA-SAR	ANP-10-H-2-2-RNA-SAR	ANP-10-L-3-80-RNA-SAR	ANP-10-L-3-10-RNA-SAR	ANP-10-L-3-2-RNA-SAR	ANP-10-M-3-80-RNA-SAR	ANP-10-M-3-10-RNA-SAR	ANP-10-M-3-2-RNA-SAR	ANP-10-H-3-80-RNA-SAR	ANP-10-H-3-10-RNA-SAR	ANP-10-H-3-2-RNA-SAR	ANP-10-O-4-80-RNA-SAR	ANP-10-O-4-10-RNA-SAR	ANP-10-O-4-2-RNA-SAR	ANP-10-M-4-80-RNA-SAR	ANP-10-M-4-10-RNA-SAR	ANP-10-M-4-2-RNA-SAR	ANP-10-H-4-80-RNA-SAR	ANP-10-H-4-10-RNA-SAR	ANP-10-H-4-2-RNA-SAR	ANP-10-M-5-80-RNA-SAR	ANP-10-M-5-10-RNA-SAR	ANP-10-M-5-2-RNA-SAR	ANP-10-M-6-80-RNA-SAR	ANP-10-M-6-10-RNA-SAR	ANP-10-M-6-2-RNA-SAR	ANP-10-H-5-80-RNA-SAR	ANP-10-H-5-10-RNA-SAR	ANP-10-H-5-2-RNA-SAR	ANP-10-H-6-80-RNA-SAR	ANP-10-H-6-10-RNA-SAR	ANP-10-H-6-2-RNA-SAR	ANP-10-H-7-80-RNA-SAR	ANP-10-H-7-10-RNA-SAR	ANP-10-H-7-2-RNA-SAR	ANP-10-O-8-80-RNA-SAR	ANP-10-O-8-10-RNA-SAR	ANP-10-O-8-2-RNA-SAR	ANP-5-1-1-80-RNA-SAR	ANP-5-1-1-10-RNA-SAR	ANP-5-1-1-2-RNA-SAR	ANP-5-2-1-80-RNA-SAR	ANP-5-2-1-10-RNA-SAR	ANP-5-2-1-2-RNA-SAR	ANP-5-3-1-80-RNA-SAR	ANP-5-3-1-10-RNA-SAR	ANP-5-3-1-2-RNA-SAR	ANP-5-O-1-80-RNA-SAR	ANP-5-O-1-10-RNA-SAR	ANP-5-O-1-2-RNA-SAR	ANP-5-1-2-80-RNA-SAR	ANP-5-1-2-10-RNA-SAR	ANP-5-1-2-2-RNA-SAR	ANP-5-2-2-80-RNA-SAR	ANP-5-2-2-10-RNA-SAR	ANP-5-2-2-2-RNA-SAR	ANP-5-3-2-80-RNA-SAR	ANP-5-3-2-10-RNA-SAR	ANP-5-3-2-2-RNA-SAR	ANP-5-O-2-80-RNA-SAR	ANP-5-O-2-10-RNA-SAR	ANP-5-O-2-2-RNA-SAR	ANP-5-1-3-80-RNA-SAR	ANP-5-1-3-10-RNA-SAR	ANP-5-1-3-2-RNA-SAR	ANP-5-2-3-80-RNA-SAR	ANP-5-2-3-10-RNA-SAR	ANP-5-2-3-2-RNA-SAR	ANP-5-3-3-80-RNA-SAR	ANP-5-3-3-10-RNA-SAR	ANP-5-3-3-2-RNA-SAR	ANP-5-O-3-80-RNA-SAR	ANP-5-O-3-10-RNA-SAR	ANP-5-O-3-2-RNA-SAR	ANP-5-O-5-80-RNA-SAR	ANP-5-O-5-10-RNA-SAR	ANP-5-O-5-2-RNA-SAR	ANP-5-1-4-80-RNA-SAR	ANP-5-1-4-10-RNA-SAR	ANP-5-1-4-2-RNA-SAR	ANP-5-O-4-80-RNA-SAR	ANP-5-O-4-10-RNA-SAR	ANP-5-O-4-2-RNA-SAR	ANP-5-3-4-80-RNA-SAR	ANP-5-3-4-10-RNA-SAR	ANP-5-3-4-2-RNA-SAR	ANP-5-3-5-80-RNA-SAR	ANP-5-3-5-10-RNA-SAR	ANP-5-3-5-2-RNA-SAR	ANP-5-3-6-80-RNA-SAR	ANP-5-3-6-10-RNA-SAR	ANP-5-3-6-2-RNA-SAR	ANP-5-3-7-80-RNA-SAR	ANP-5-3-7-10-RNA-SAR	ANP-5-3-7-2-RNA-SAR	ANP-5-3-8-80-RNA-SAR	ANP-5-3-8-10-RNA-SAR	ANP-5-3-8-2-RNA-SAR	ANP-10-M-6-80-2-RNA-SAR	ANP-10-H-6-80-2-RNA-SAR	ANP-10-L-2-2-2-RNA-SAR	ANP-10-M-2-2-2-RNA-SAR	ANP-10-H-3-10-2-RNA-SAR	ANP-10-M-4-10-2-RNA-SAR	ANP-5-O-4-80-2-RNA-SAR	ANP-5-3-3-10-2-RNA-SAR	ANP-5-O-2-10-2-RNA-SAR	ANP-5-1-1-80-2-RNA-SAR	ANP-10-L-1-80-DNA-SAR	ANP-10-L-1-10-DNA-SAR	ANP-10-L-1-2-DNA-SAR	ANP-10-M-1-10-DNA-SAR	ANP-10-M-1-2-DNA-SAR	ANP-10-L-2-10-DNA-SAR	ANP-10-M-2-80-DNA-SAR	ANP-10-M-2-10-DNA-SAR	ANP-10-M-2-2-DNA-SAR	ANP-10-H-2-10-DNA-SAR	ANP-10-H-2-2-DNA-SAR	ANP-10-L-3-10-DNA-SAR	ANP-10-L-3-2-DNA-SAR	ANP-10-M-3-2-DNA-SAR	ANP-5-3-1-10-DNA-SAR	ANP-5-3-1-2-DNA-SAR	ANP-5-O-1-10-DNA-SAR	ANP-5-O-2-10-DNA-SAR	ANP-5-O-3-10-DNA-SAR	ANP-5-O-4-10-DNA-SAR	ANP-5-1-1-10-DNA-SAR	ANP-5-1-1-2-DNA-SAR	ANP-5-2-1-10-DNA-SAR	ANP-5-2-1-2-DNA-SAR	ANP-5-O-1-80-DNA-SAR	ANP-5-O-1-2-DNA-SAR	ANP-5-1-2-10-DNA-SAR	ANP-5-1-2-2-DNA-SAR	ANP-5-2-2-10-DNA-SAR	ANP-5-2-2-2-DNA-SAR	ANP-5-3-2-80-DNA-SAR	ANP-5-3-2-10-DNA-SAR	ANP-5-3-2-2-DNA-SAR	ANP-O-2-80-DNA-SAR	ANP-O-2-2-DNA-SAR	ANP-5-1-3-10-DNA-SAR	ANP-5-1-3-2-DNA-SAR	ANP-5-2-3-10-DNA-SAR	ANP-5-2-3-2-DNA-SAR	ANP-5-3-3-10-DNA-SAR	ANP-5-3-3-2-DNA-SAR	ANP-5-O-3-10-DNA-SAR-LAKM1607	ANP-5-O-5-10-DNA-SAR	ANP-5-O-5-2-DNA-SAR	ANP-5-1-4-10-DNA-SAR	ANP-5-1-4-2-DNA-SAR	ANP-5-O-4-2-DNA-SAR	ANP-5-3-4-10-DNA-SAR	ANP-5-3-4-2-DNA-SAR	ANP-5-3-5-10-DNA-SAR	ANP-5-3-5-2-DNA-SAR	ANP-5-3-6-10-DNA-SAR	ANP-5-3-6-2-DNA-SAR	ANP-5-3-7-80-DNA-SAR	ANP-5-3-7-10-DNA-SAR	ANP-5-3-7-2-DNA-SAR	ANP-5-3-8-10-DNA-SAR	ANP-5-3-8-2-DNA-SAR	ANP-10-L-2-2-DNA-SAR	ANP-10-M-3-10-DNA-SAR	ANP-10-H-3-10-DNA-SAR	ANP-10-H-3-2-DNA-SAR	ANP-10-O-4-10-DNA-SAR	ANP-10-O-4-2-DNA-SAR	ANP-10-M-4-10-DNA-SAR	ANP-10-M-4-2-DNA-SAR	ANP-10-H-4-10-DNA-SAR	ANP-10-H-4-2-DNA-SAR	ANP-10-M-5-10-DNA-SAR	ANP-10-M-5-2-DNA-SAR	ANP-10-M-6-10-DNA-SAR	ANP-10-M-6-2-DNA-SAR	ANP-10-H-5-10-DNA-SAR	ANP-10-H-5-2-DNA-SAR	ANP-10-H-6-10-DNA-SAR	ANP-10-H-6-2-DNA-SAR	ANP-10-H-7-10-DNA-SAR	ANP-10-H-7-2-DNA-SAR	ANP-10-O-8-10-DNA-SAR	ANP-10-O-8-2-DNA-SAR
OTU398	Euk	SAR	Str	Ch	Ch	Di_Kephyrion	JF730878	100	94%	SAR	Str	Ba	Me	Bi	Plagiogramma-atomus	AB433338	3	0.12461324	28	827	0	1	0	0	84	1	3	3	1	2	1	0	3	10	0	8	7	4	0	6	46	46	11	25	0	5	1	0	28	127	0	1	91	117	95	23	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU445	Euk	SAR	Alv	Ci	In	Ol_Fusiforma	KF516511	100	99%	SAR	Alv	Ci	In	Ol	Chromidina-sp	LT546662	2	0.093519999	40	825	0	0	0	0	0	7	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	19	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	3	3	33	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	0	32	0	1	14	0	1	0	0	2	0	0	1	0	0	0	7	3	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	41	0	0	0	1	0	0	3	0	20	189	0	0	0	0	0	0	0	0	0	0	12	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	241	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0
OTU443	Euk	SAR	Str	Sy	Oc	Oc_Poterioochromonas	AB023070	100	100%	SAR	Str	Sy	Oc	Oc	Poterioochromonas-malhamensis	AB023070	2	2.00E-06	66	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	4	0	0	15	16	1	50	1	0	1	1	2	1	6	0	7	21	0	16	0	0	0	2	1	13	0	0	7	0	0	1	1	2	10	1	2	13	0	0	13	5	0	7	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	5	0	34	27	2	3	0	0	0	0	0	0	0	0	28	23	0	0	39	2	33	0	3	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	85	76	0	0	0	0	0	0	0	0	0	6	0	155	0	1	0	14
OTU594	Euk	SAR	Alv	Ci	In	Sp_Strombidium	KJ609049	100	97%	SAR	Alv	Ci	In	Sp	Williophrya-maedai	FJ876966	2	0.103784879	40	818	1	1	6	12	1	4	0	6	0	5	0	6	0	0	3	0	0	0	3	11	0	0	1	13	2	0	0	3	0	9	1	0	20	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	15	12	0	24	11	11	7	2	74	0	259	0	0	0	0	0	55	0	64	0	0	0	9	0	14	0	0	0	9	44	63	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU385	Euk	SAR	Alv	Ci	In	Sp_Pseudotontonia	FJ422993	100	100%	SAR	Alv	Ci	In	Sp	Pseudotontonia-simplicidens	FJ422993	2	2.00E-06	37	811	0	0	11	0	10	12	0	3	0	6	12	0	7	8	0	0	0	0	9	0	3	1	4	0	11	19	0	0	5	62	5	0	119	73	284	0	56	0	0	1	0	0	9	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	2	0	0	0	0	0	0	0	0	2	0	7	2	0	7	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU451	Euk	SAR	Rhi	Ce	Im	Si_Sphenoderia	KF539409	100	96%	SAR	Rhi	Ce	Kr		Kraken-carinae	KP940373	2	0.129782214	55	800	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	64	0	11	133	0	6	0	0	0	108	0	8	27	1	21	1	0	0	31	2	15	14	0	13	3	0	0	32	0	8	40	1	6	0	0	0	21	0	7	23	0	29	14	0	1	3	0	4	1	0	1	1	0	0	30	0	3	0	0	0	0	0	0	0	0	2	7	2	5	0	0	0	0	0	0	0	0	2	10	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	2	2	13	0	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU580	Euk	SAR	Str	Ba	Me	Bi_Cerataulina	HQ912669	100	94%	SAR	Str	Ba	Co	Rh	Proboscia-alata	AJ535181	3	0.239308702	71	800	0	1	0	2	0	1	0	0	12	1	0	1	4	0	0	2	1	3	0	0	4	6	5	60	4	2	47	15	0	0	11	17	0	2	10	10	10	0	0	0	0	7	0	0	0	0	0	0	0	7	1	0	0	4	0	0	0	2	0	1	0	0	9	0	144	1	0	0	4	0	0	4	0	0	5	2	1	1	0	0	7	1	24	4	1	9	3	0	176	6	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	22	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	29	0
OTU448	Euk	SAR	Alv	Ci	In	Ol_Scyphidia	KU363243	100	95%	SAR	Alv	Ci	In	Ol	Scyphidia-sp	KU363243	4	0.177593914	61	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22	0	0	1	0	0	0	0	0	0	8	0	5	4	0	1	0	3	0	0	0	49	6	0	2	0	0	0	2	1	16	2	0	0	0	0	28	1	0	19	6	3	0	1	0	0	0	0	0	4	0	0	0	0	7	2	1	34	0	0	6	0	0	0	2	0	11	7	0	11	3	0	7	6	0	0	0	0	0	0	0	72	1	0	14	5	0	0	0	0	6	4	1	0	0	1	2	0	0	37	0	0	7	1	252	0	0	0	5	3	0	4	0	0	0	3	4	16	43	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU439	Euk	SAR	Rhi	Gr	Gr	_Gromia	AJ457812	100	98%	SAR	Rhi	Gr	Gr		Gromia-oviformis	AJ457812	2	0.021016365	63	788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	13	0	0	4	47	0	3	4	0	13	0	0	7	0	0	0	187	18	117	11	0	2	1	4	5	49	0	19	1	0	20	0	0	1	3	0	0	1	3	0	5	3	25	1	2	12	3	0	12	1	2	9	6	0	3	2	7	8	0	0	0	5	0	6	0	0	0	3	0	9	0	0	1	0	0	3	5	0	1	2	2	1	0	0	0	0	1	13	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	73	3	3	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU416	2922r									SAR	Alv	Ci	In	Sp	Omegastrombidium-elegans	EF486862	2	0.333460411	81	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	26	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	5	0	0	0	0	0	0	4	12	0	0	6	0	0	1	7	0	0	2	0	0	1	0	2	0	1	19	15	0	13	22	25	9	5	1	1	22	0	20	8	1	10	14	0	2	4	3	9	14	0	2	0	0	16	47	0	2	2	24	23	35	0	13	0	1	24	19	4	7	10	5	1	0	0	9	0	32	7	1	2	13	10	4	13	29	0	0	0	1	0	0	9	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	1	5	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	1
OTU423	Euk	SAR	Alv	Ci	In	Ol_Cyclidium	EU032356	100	99%	SAR	Alv	Ci	In	Ol	Ancistrum-crassum	JQ956540	2	0.009683407	49	782	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	75	0	0	0	0	2	2	3	74	5	1	0	0	0	0	0	3	32	0	1	0	0	0	12	5	4	40	7	0	0	0	0	0	0	0	3	9	0	16	0	0	137	7	3	0	0	3	0	9	0	0	0	2	16	0	0	8	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	31	0	0	6	0	0	18	3	0	3	1	2	4	0	0	0	0	69	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU553	Euk	SAR	Rhi	Ce	Th	Le_Lecythium	KP728379	100	96%	SAR	Rhi	un			Rhizaria-sp	KM401881	2	0.26889246	49	775	9	162	2	43	5	8	12	5	21	34	8	21	21	6	29	23	18	11	16	12	17	17	15	17	12	0	30	17	20	27	18	0	13	42	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU528	Euk	SAR	Alv	Ci	In	Ol_Frontonia	FJ868198	100	99%	SAR	Alv	Ci	In	Ol	Frontonia-ocularis	FJ868198	2	0.010856533	11	769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU438	Euk	SAR	Alv	Ci	In	Sp_Parabirojimia	FJ156104	100	94%	SAR	Alv	Ci	In	Sp	Apogastrostyla-rigescens	FJ870089	4	0.181900474	45	767	1	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	2	0	2	0	9	0	0	5	4	0	6	15	19	11	0	0	0	25	3	29	0	1	9	0	0	0	24	0	69	1	7	65	0	0	1	1	0	55	45	32	77	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	6	17	0	5	0	0	0	0	0	0	0	0	0	0	0	6	118	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU507	2548r									SAR	Alv	Ci	In	Ol	Chromidina-sp	LT546662	2	0.614252764	33	767	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	44	0	0	0	0	12	0	0	0	1	239	1	0	0	0	0	21	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	32	0	0	2	0	2	2	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	15	0	0	0	0	0	47	46	0	0	0	0	0	0	0	0	46	9	0	0	0	33	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	17	0	0	12	0	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU512	Euk	SAR	Alv	Di	Pe	Pe_Peridinium	EF492509	100	98%	SAR	Alv	Di	Pe	Pe	Peridinium-sociale	EF492509	2	0.065718775	57	766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	122	0	11	6	0	0	0	0	0	1	0	0	0	0	0	0	18	28	41	2	4	1	0	0	0	2	38	11	0	1	1	0	2	0	0	0	0	0	5	9	0	0	2	0	0	4	0	1	0	5	0	30	3	0	0	0	2	2	0	0	0	0	9	16	2	1	0	0	0	0	0	0	0	2	2	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	33	2	29	0	0	0	19	0	0	0	21	98	0	0	0	11	2	1	0	0	18	0	0	0	0	0	0	0	8	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	11	0	15	0	0	0	0
